Day,Discount,Free Delivery,Purchase
Weekday,Yes,Yes,Yes
Weekday,Yes,Yes,Yes
Weekday,No,No,No
Holiday,Yes,Yes,Yes
Weekend,Yes,Yes,Yes
Holiday,No,No,No
Weekend,Yes,No,Yes
Weekday,Yes,Yes,Yes
Weekend,Yes,Yes,Yes
Holiday,Yes,Yes,Yes
Holiday,No,Yes,Yes
Holiday,No,No,No
Weekend,Yes,Yes,Yes
Holiday,Yes,Yes,Yes
Holiday,Yes,Yes,Yes
Weekday,Yes,Yes,Yes
Holiday,No,Yes,Yes
Weekday,Yes,No,Yes
Weekend,No,No,Yes
Weekend,No,Yes,Yes
Weekday,Yes,Yes,Yes
Weekend,Yes,Yes,No
Holiday,No,Yes,Yes
Weekday,Yes,Yes,Yes
Holiday,No,No,No
Weekday,No,Yes,No
Weekday,Yes,Yes,Yes
Weekday,Yes,Yes,Yes
Holiday,Yes,Yes,Yes
Weekend,Yes,Yes,Yes